fecha,dia,year,horario,festividad,tipo_accidente,lesividad,distrito,direccion,lon,lat,meteo_Despejado,meteo_Lluvia,meteo_Niebla
2019-02-22 20:00:00,2019-02-22 00:00:00,2019,2,1,Colision,Moderada,CARABANCHEL,CALLE GENERAL RICARDOS 18 Madrid,-3.7183794,40.39652239999999,1,0,0
2019-02-23 21:00:00,2019-02-23 00:00:00,2019,3,1,Colision,Leve,MONCLOA-ARAVACA,PLAZA. ESPAÑA 16 Madrid,-3.713224,40.4237064,1,0,0
2019-02-23 11:00:00,2019-02-23 00:00:00,2019,1,1,Caida,Leve,ARGANZUELA,CALLE PARROCO EUSEBIO CUENCA 46 Madrid,-3.6888015,40.3951653,1,0,0
2019-02-25 17:00:00,2019-02-25 00:00:00,2019,2,1,Caida,Moderada,CENTRO,CALLE ESPARTEROS 12 Madrid,-3.7053396,40.41565739999999,1,0,0
2019-02-27 20:00:00,2019-02-27 00:00:00,2019,2,1,Colision,Leve,LATINA,CALLE MELILOTO / CALLE NOPALERA Madrid,-3.7696025,40.3889419,1,0,0
2019-02-27 19:00:00,2019-02-27 00:00:00,2019,2,1,Colision,Leve,CHAMBERÍ,PASEO. GENERAL MARTINEZ CAMPOS / CALLE MODESTO LAFUENTE Madrid,-3.6965022,40.43502460000001,1,0,0
2019-02-27 10:00:00,2019-02-27 00:00:00,2019,1,1,Caida,Leve,RETIRO,PASEO. FERNAN NUÑEZ / PASEO. VENEZUELA Madrid,-3.680099299999999,40.416272600000006,1,0,0
2019-02-28 09:00:00,2019-02-28 00:00:00,2019,1,1,Colision,Leve,BARAJAS,GTA. SINTRA / CALLE VIA DE DUBLIN Madrid,-3.6131881,40.4709364,1,0,0
2019-02-28 08:00:00,2019-02-28 00:00:00,2019,1,1,Caida,Leve,CHAMBERÍ,PASEO. CASTELLANA 29 Madrid,-3.6896221,40.4309218,1,0,0
2019-03-01 21:00:00,2019-03-01 00:00:00,2019,3,1,Colision,Leve,RETIRO,PASEO. PRADO 13 Madrid,-3.694130899999999,40.4142894,1,0,0
2019-03-01 13:00:00,2019-03-01 00:00:00,2019,2,1,Caida,Leve,CHAMBERÍ,CALLE MODESTO LAFUENTE 61 Madrid,-3.6958867,40.44438780000001,1,0,0
2019-03-01 12:00:00,2019-03-01 00:00:00,2019,1,1,Otro,Leve,VICÁLVARO,CALLE HACIENDA DE PAVONES / CALLE BRUJAS Madrid,-3.6283866,40.3989601,1,0,0
2019-03-01 12:00:00,2019-03-01 00:00:00,2019,1,1,Caida,Leve,ARGANZUELA,RONDA. ATOCHA 7 Madrid,-3.6948477,40.4069616,1,0,0
2019-03-02 15:00:00,2019-03-02 00:00:00,2019,2,1,Caida,Leve,TETUÁN,CALLE RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA Madrid,-3.6913488,40.4463472,1,0,0
2019-03-02 14:00:00,2019-03-02 00:00:00,2019,2,1,Caida,Grave,ARGANZUELA,PASEO. MOLINO 1 Madrid,-3.694092599999999,40.3905654,1,0,0
2019-03-02 04:00:00,2019-03-02 00:00:00,2019,3,2,Caida,Leve,CENTRO,PASEO. PRADO 48 Madrid,-3.692809,40.40979420000001,1,0,0
