,fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
150,2019-03-20 16:00:00,Despejado,Otro,Leve,VILLA DE VALLECAS,AVDA. ENSANCHE DE VALLECAS / AVDA. LA GAVIA Madrid,Tarde,2019-03-20,Laborable,,
151,2019-03-20 10:00:00,Despejado,Imprudencia,Leve,CHAMARTÍN,PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA Madrid,Mañana,2019-03-20,Laborable,,
152,2019-03-20 10:00:00,Despejado,Imprudencia,Leve,CHAMARTÍN,PASEO. ERMITA DEL SANTO / GTA. PUENTE DE SEGOVIA Madrid,Mañana,2019-03-20,Laborable,,
153,2019-03-22 16:00:00,Despejado,Colision,Leve,CIUDAD LINEAL,CALLE JOSE SILVA 2 Madrid,Tarde,2019-03-22,Laborable,,
154,2019-03-22 14:00:00,Despejado,Caida,Grave,VILLAVERDE,CALLE HULLA / AVDA. LOS ROSALES Madrid,Tarde,2019-03-22,Laborable,,
155,2019-03-22 14:00:00,Despejado,Imprudencia,Leve,CENTRO,CALLE ATOCHA 109 Madrid,Tarde,2019-03-22,Laborable,,
156,2019-03-22 14:00:00,Despejado,Imprudencia,Moderada,CENTRO,CALLE ATOCHA 109 Madrid,Tarde,2019-03-22,Laborable,,
157,2019-03-22 14:00:00,Despejado,Colision,Leve,CHAMARTÍN,PASEO. LA HABANA / CALLE SANTIAGO BERNABEU Madrid,Tarde,2019-03-22,Laborable,,
158,2019-03-23 12:00:00,Despejado,Caida,Leve,CARABANCHEL,GTA. MARQUES DE VADILLO / PNTE. TOLEDO Madrid,Mañana,2019-03-23,Laborable,,
159,2019-03-24 22:00:00,Despejado,Colision,Leve,CENTRO,CALLE HORTALEZA 100 Madrid,Noche,2019-03-24,Festivo,,
160,2019-03-24 22:00:00,Despejado,Colision,Leve,CENTRO,CALLE HORTALEZA 100 Madrid,Noche,2019-03-24,Festivo,,
161,2019-03-24 12:00:00,Despejado,Colision,Leve,ARGANZUELA,CALLE RETAMA / CALLE ACANTO Madrid,Mañana,2019-03-24,Festivo,,
162,2019-03-24 02:00:00,Despejado,Caida,Leve,TETUÁN,CALLE BRAVO MURILLO 120 Madrid,Noche,2019-03-24,Festivo,,
