fecha,meteo,tipo_accidente,lesividad,distrito,direccion,horario,dia,festividad,lon,lat
2019-03-01 13:00:00,Despejado,Caida,Leve,CHAMBERÍ,CALLE MODESTO LAFUENTE 61 Madrid,Tarde,2019-03-01,Laborable,-3.6958867,40.44438780000001
2019-03-01 12:00:00,Despejado,Otro,Leve,VICÁLVARO,CALLE HACIENDA DE PAVONES / CALLE BRUJAS Madrid,Mañana,2019-03-01,Laborable,-3.6283866,40.3989601
2019-03-01 12:00:00,Despejado,Caida,Leve,ARGANZUELA,RONDA. ATOCHA 7 Madrid,Mañana,2019-03-01,Laborable,-3.6948477,40.4069616
2019-03-02 15:00:00,Despejado,Caida,Leve,TETUÁN,CALLE RAIMUNDO FERNANDEZ VILLAVERDE / PASEO. CASTELLANA Madrid,Tarde,2019-03-02,Laborable,-3.6913488,40.4463472
2019-03-02 14:00:00,Despejado,Caida,Grave,ARGANZUELA,PASEO. MOLINO 1 Madrid,Tarde,2019-03-02,Laborable,-3.694092599999999,40.3905654
2019-03-02 04:00:00,Despejado,Caida,Leve,CENTRO,PASEO. PRADO 48 Madrid,Noche,2019-03-02,Laborable,-3.692809,40.4097942
2019-03-03 23:00:00,Despejado,Colision,Leve,CENTRO,PLAZA. EMPERADOR CARLOS V 1 Madrid,Noche,2019-03-03,Festivo,-3.6930305,40.4069594
2019-03-03 21:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE PRINCESA / CALLE HILARION ESLAVA Madrid,Noche,2019-03-03,Festivo,-3.716889499999999,40.4315287
2019-03-04 16:00:00,Despejado,Colision,Leve,MORATALAZ,CALLE ARROYO DE LA MEDIA LEGUA / CALLE CORREGIDOR DIEGO CABEZA DE VACA Madrid,Tarde,2019-03-04,Laborable,-3.6560659,40.4101249
2019-03-04 16:00:00,Despejado,Colision,Leve,RETIRO,CALLE ALFONSO XII / CALLE MONTALBAN Madrid,Tarde,2019-03-04,Laborable,-3.6888065,40.41781030000001
2019-03-04 13:00:00,Despejado,Colision,Moderada,CHAMARTÍN,PASEO. CASTELLANA 92 Madrid,Tarde,2019-03-04,Laborable,-3.6908818,40.4432324
2019-03-04 12:00:00,Despejado,Caida,Leve,RETIRO,RETIRO Madrid,Mañana,2019-03-04,Laborable,-3.6749081,40.4113349
2019-03-05 16:00:00,Despejado,Colision,Leve,BARAJAS,CALLE TRESPADERNE / AVDA. SUR DEL AEROPUERTO DE BARAJAS Madrid,Tarde,2019-03-05,Laborable,-3.5769515,40.4505365
2019-03-06 17:00:00,Despejado,Colision,Leve,SAN BLAS-CANILLEJAS,CALLE ALBAIDA 76 Madrid,Tarde,2019-03-06,Laborable,-3.6137583,40.4332296
2019-03-06 10:00:00,Despejado,Caida,Leve,VILLA DE VALLECAS,PLAZA. CARDENAL CISNEROS / AVDA. COMPLUTENSE Madrid,Mañana,2019-03-06,Laborable,-3.7267226,40.4404756
2019-03-08 21:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,Noche,2019-03-08,Laborable,-3.659097699999999,40.4955912
2019-03-08 21:00:00,Despejado,Colision,Moderada,HORTALEZA,CALLE PRINCIPE CARLOS / CALLE MARIA TUDOR Madrid,Noche,2019-03-08,Laborable,-3.659097699999999,40.4955912
2019-03-08 19:00:00,Despejado,Colision,Leve,BARAJAS,AVDA. PARTENON 2 Madrid,Tarde,2019-03-08,Laborable,-3.6188013,40.4630892
2019-03-08 17:00:00,Despejado,Colision,Leve,TETUÁN,PASEO. CASTELLANA / CALLE RAIMUNDO FERNANDEZ VILLAVERDE Madrid,Tarde,2019-03-08,Laborable,-3.6913488,40.4463472
2019-03-09 20:00:00,Despejado,Colision,Leve,PUENTE DE VALLECAS,CALLE LOPEZ GRASS / AVDA. ALBUFERA Madrid,Tarde,2019-03-09,Laborable,-3.6616314,40.3943325
2019-03-10 22:00:00,Despejado,Caida,Leve,LATINA,AVDA. PORTUGAL 1 Madrid,Noche,2019-03-10,Festivo,-3.7236962,40.4162565
2019-03-10 19:00:00,Despejado,Colision,Moderada,LATINA,PASEO. ERMITA DEL SANTO / CALLE VIA CARPETANA Madrid,Tarde,2019-03-10,Festivo,-3.7332813,40.3996275
2019-03-10 17:00:00,Despejado,Colision,Leve,HORTALEZA,AVDA. INGENIERO EMILIO HERRERA 15 Madrid,Tarde,2019-03-10,Festivo,-3.6536823,40.4914782
2019-03-10 15:00:00,Despejado,Colision,Grave,HORTALEZA,CALLE SANTA ADELA 14 Madrid,Tarde,2019-03-10,Festivo,-3.6490489,40.479068
2019-03-10 15:00:00,Despejado,Colision,Leve,HORTALEZA,CALLE SANTA ADELA 14 Madrid,Tarde,2019-03-10,Festivo,-3.6490489,40.479068
2019-03-11 22:00:00,Despejado,Colision,Leve,CENTRO,PLAZA. ESPAÑA / CALLE BAILEN Madrid,Noche,2019-03-11,Laborable,-3.713318299999999,40.4221995
2019-03-11 21:00:00,Despejado,Caida,Moderada,SALAMANCA,CALLE ALCALDE SAINZ DE BARANDA / AUTOV. M-30 Madrid,Noche,2019-03-11,Laborable,-3.674558899999999,40.4166587
2019-03-11 20:00:00,Despejado,Otro,Leve,VILLAVERDE,CALLE ALCOCER / AVDA. ANDALUCIA Madrid,Tarde,2019-03-11,Laborable,-3.6929899,40.3510836
2019-03-12 10:00:00,Despejado,Caida,Leve,PUENTE DE VALLECAS,CALLE REGUERA DE TOMATEROS 39 Madrid,Mañana,2019-03-12,Laborable,-3.6571596,40.3719173
2019-03-12 09:00:00,Despejado,Colision,Moderada,CHAMARTÍN,CALLE JORGE MANRIQUE - CALLE SERRANO Madrid,Mañana,2019-03-12,Laborable,-3.6858577,40.4427903
2019-03-13 19:00:00,Despejado,Otro,Leve,USERA,CALLE DOLORES BARRANCO / CALLE NICOLAS SANCHEZ Madrid,Tarde,2019-03-13,Laborable,-3.705887,40.3832818
2019-03-14 12:00:00,Despejado,Colision,Leve,MONCLOA-ARAVACA,AVDA. VICTORIA 11 Madrid,Mañana,2019-03-14,Laborable,-3.8106402,40.4663429
2019-03-15 22:00:00,Despejado,Colision,Moderada,TETUÁN,CALLE BRAVO MURILLO 305 Madrid,Noche,2019-03-15,Laborable,-3.697591099999999,40.462476
2019-03-15 20:00:00,Despejado,Caida,Moderada,RETIRO,AVDA. CIUDAD DE BARCELONA / CALLE SECO Madrid,Tarde,2019-03-15,Laborable,-3.6715486,40.3995373
2019-03-16 19:00:00,Despejado,Colision,Leve,RETIRO,CALLE O'DONNELL 52 Madrid,Tarde,2019-03-16,Laborable,-3.6702534,40.42107379999999
2019-03-16 18:00:00,Despejado,Colision,Leve,CHAMBERÍ,CALLE ALMAGRO 25 Madrid,Tarde,2019-03-16,Laborable,-3.6923171,40.43163089999999
2019-03-16 12:00:00,Despejado,Colision,Leve,HORTALEZA,AVDA. NICETO ALCALA ZAMORA / CALLE JULIO CASARES Madrid,Mañana,2019-03-16,Laborable,-3.6456081,40.4893173
2019-03-16 01:00:00,Despejado,Caida,Leve,CENTRO,CALLE LUIS DE GONGORA / CALLE GRAVINA Madrid,Noche,2019-03-16,Laborable,-3.6967813,40.4227359
2019-03-17 21:00:00,Despejado,Caida,Leve,CHAMARTÍN,PASEO. LA HABANA 39 Madrid,Noche,2019-03-17,Festivo,-3.684886499999999,40.4535856
2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,AVDA. MANZANARES 196 Madrid,Mañana,2019-03-17,Festivo,-3.7029237,40.3930799
2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,AVDA. MANZANARES 196 Madrid,Mañana,2019-03-17,Festivo,-3.7029237,40.3930799
2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,"PQUE. MADRID RIO, +00700E Madrid",Mañana,2019-03-17,Festivo,-3.7102742,40.3979085
2019-03-17 12:00:00,Despejado,Imprudencia,Leve,USERA,"PQUE. MADRID RIO, +00700E Madrid",Mañana,2019-03-17,Festivo,-3.7102742,40.3979085
2019-03-17 10:00:00,Despejado,Caida,Leve,SAN BLAS-CANILLEJAS,CALLE SUECIA / AVDA. CANILLEJAS A VICALVARO Madrid,Mañana,2019-03-17,Festivo,-3.611188,40.42123170000001
2019-03-18 14:00:00,Despejado,Colision,Leve,CENTRO,CALLE SAN BERNARDO 43 Madrid,Tarde,2019-03-18,Laborable,-3.7075514,40.4238011
2019-03-18 00:00:00,Despejado,Caida,Grave,CENTRO,CUSTA. SAN VICENTE / CALLE BAILEN Madrid,Noche,2019-03-18,Laborable,-3.7148353,40.4210926
